9.35, 3.65
10.45, 3.7
11.4, 3.7
12.35, 3.8
13.35, 3.8
14.2, 3.85
15.2, 3.9
16.2, 3.9
17.3, 3.95
18.5, 4.0
19.25, 4.0
20.65, 4.05
21.5, 4.05
22.5, 4.2
23.7, 4.2
24.55, 4.3
25.65, 4.25
27.15, 4.2
28.0, 4.2
28.9, 4.15
30.05, 4.25
31.1, 4.3
32.1, 4.5
33.4, 4.95
34.65, 5.55
35.7, 6.25
36.3, 7.0
37.05, 7.9
37.4, 9.05
37.7, 10.65
37.8, 11.7
37.95, 12.75
38.4, 13.75
39.25, 14.35
39.95, 14.7
40.85, 15.3
41.3, 16.05
41.95, 17.1
42.25, 17.9
42.4, 18.8
42.35, 19.3
42.2, 20.35
41.9, 21.05
40.9, 21.2
39.65, 21.2
38.75, 20.55
38.7, 19.85
39.1, 18.65
40.0, 17.7
41.6, 16.95
42.85, 15.9
44.45, 15.25
46.25, 14.4
48.2, 13.35
48.55, 13.2
